Name,,Flags,,Cardinality,Type,Example,Description & Constraints,,
Claim,,TU,,,DomainResource,,"	Claim, Pre-determination or Pre-authorization",,
identifier,,?,D,0..*,identifier, ,Business Identifier for a claim response,,
status,,?!?,,1..1,code,active,"	active | cancelled | draft | entered-in-error",,
,,,,,,,Привязка: Financial Resource Status Codes (Required),,
type,,"	?",,1..1,CodeableConcept, Institutional,Категория или дисциплина.,,
,,,,,,,Привязка: Claim Type Codes ,,
use,,?,,1..1,code,Claim,"claim | preauthorization
Правило: Сначала отправляется preauthorization для бронирование суммы, после отправляет Claim с финальной формой 066 для завершения процесса оплаты ",,
,,,,,,,Привязка: Use (Required),,
patient,,?,,1..1,Reference(UzCorePatient),Patient/123,"Пациент, которому делается запрос на возмещения ",,
created,,?,,1..1,dateTime,3/10/2026,Дата создания запроса,,
insurer,,?,,0..1,Reference(UzCoreOrganization),ФГМС,Организация возмещающий расходы клиники ,,
provider,,?,,0..1,Reference(UzCoreOrganization),Organization/123,Организация сделавщий запрос,,
referral,,,,0..1,Reference (ServiceRequest),ServiceRequest/123,Направления пациента ,,
facility,,,,0..1,Reference (Oragnization),Organization/123,Организаця предоставляющий услугу,,
diagnosis,,,,0..*,BackboneElement,,,,
,diagnosis[x],,,1..1,,,,,
,diagnosisCodeableConcept,,,,,Q50,МКБ-10,,
supportingInfo,,,,,,,,,
insurance,,,,0..*,,,Patient insurance information,,
,focal,?,,0..1,boolean,true,Coverage to be used for adjudication,,
,coverage,,,0..1,Reference(Coverage),Coverage/1,"	Insurance information",,
total,,,,0..1,money,,,,
,value,,,0..1,decimal,100000,Numerical value (with implicit precision),,
,  currency,,,0..1,code,UZS,ISO 4217 Currency Code,,
,,,,,,,Binding: Currencies (Required),,
 ,,,,,,,,,
