Code 	UZ	RU	ENG
altchoice	Avval boshqa davolash usulini sinab ko‘ring	Сначала попробуйте другое лечение	Try another treatment first        
clarif	Retseptni aniqlashtirish talab etiladi	Требуется уточнение рецепта	Prescription requires clarification
drughigh	Dori vositasining darajasi juda yuqori	Слишком высокий уровень лекарственного средства	Drug level too high
hospadm	Shifoxonaga yotqizish	Госпитализация	Admission to hospital
labint	Laboratoriya xatoliklari bilan bog‘liq muammolar	Проблемы с лабораторными помехами	"Lab interference issues	"
non-avail	Bemor bilan bog‘lanib bo‘lmaydi / Bemor mavjud emas	Пациент недоступен	"Patient not available	"
preg	Ona homilador/bola emizmoqda	Родительница беременна/кормит грудью	"Parent is pregnant/breast feeding	"
salg	Allergiya	Аллергия	Allergy
sddi	Dori boshqa dori bilan o‘zaro ta’sirga kirishmoqda	Лекарство взаимодействует с другим лекарством	"Drug interacts with another drug	"
sdupther	Takroriy (dublikat) terapiya	Дублирующая терапия	Duplicate therapy
sintol	Taxminiy toqatsizlik	Подозреваемая непереносимость	"Suspected intolerance	"
surg	Bemorga operatsiya belgilangan	Пациенту назначена операция.	Patient scheduled for surgery.
washout	Avvalgi dori organizmdan chiqib ketishini kutish	Ожидание выведения старого препарата из организма	"Waiting for old drug to wash out	"
