CODE,UZ,RU,EN
739002430,Fors,ПЕРСЫ,PERSIAN
1015,Fulbe,ФУЛБЕ/ФУЛЬБЕ,FULANI
1016,Futeng,ФУТЕНГ/ФУТЕНГА,FUTENG
1017,Xa (Vaxa),ХА (ВАХА)/ХА (ВАХА),HA (WAHA)
1018,Xazarli,ХАЗАРЕЕЦ/ХАЗАРЕЙКА,HAZARA
1019,Xayya,ХАЙЯ/ХАЙЯ,HAYA
1020,Xalxa-Mogoliyalik,ХАЛХА-МОНГОЛ/ХАЛХА-МОНГОЛКА,HALHE-MONGOL
1021,Xausa,ХАУСА/ХАУСА,HAUSA
1023,Xexe (Vaxexe),"ХЕХЕ, (ВАХЕХЕ)/ХЕХЕ, (ВАХЕХЕ)","HEHE, (WAHEHE)"
1024,Xinalikli,ХИНАЛУГ/ХИНАЛУГ,KHINALIG
1025,Xindustonlik,ХИНДУСТАНЕЦ/ХИНДУСТАНКА,HINDUSTANI
1026,Xuey Dungan,ХУЭЙ ДУНГАН/ХУЭЙ ДУНГАН,HUI DUNGAN
1027,Montenegrolik,ЧЕРНОГОРЕЦ/ЧЕРНОГОРКА,MONTENEGRIN
1028,Chjuan,ЧЖУАН/ЧЖУАН,ZHUANG
1029,Chilili,ЧИЛИЕЦ/ЧИЛИЙКА,CHILEAN
1030,Chin,ЧИН/ЧИН,CHIN
1031,Chokve,ЧОКВЕ/ЧОКВЕ,CHOKWE
1032,Chuvans,ЧУВАНЦ/ЧУВАНЦ,CHUVANS
1033,Shaviyya,ШАВИЙЯ/ШАВИЙЯ,SHAUYYA
1034,Shan,ШАН/ШАН,SHAN
1035,Shved,ШВЕД/ШВЕДКА,SWEDISH
1036,Shlex,ШЛЕХ/ШЛЕХ,SHLEH
1037,Shotlandiyalik,ШОТЛАНДЕЦ/ШОТЛАНДКА,SCOTISH
1038,Eve,ЭВЕ/ЭВЕ,EWЕ
1039,Evenk,ЭВЕНК/ЭВЕНКИЙКА,EVENK
1040,Edo (Bini),ЭДО (БИНИ)/ЭДО (БИНИ),EDO (BINI)
1041,Ekvadorlik,ЭКВАДОРЕЦ/ЭКВАДОРКА,ECUADORIAN
1042,Enets,ЭНЕЦ/ЭНКА,ENETS
1043,Eskimos,ЭСКИМОС/ЭСКИМОСКА,ESKIMOS
1044,Janubiy Luo,ЮЖНЫЙ ЛУО/АЖНАЯ ЛУО,SOUTHERN LUO
1045,Yukagir,ЮКАГИР/ЮКАГИРКА,YUKAGIR
1046,Yavalik,ЯВАНЕЦ/ЯВАНКА,JAVANESE
1047,Yamaykalik,ЯМАЙЕЦ/ЯМАЙКА,JAMAICAN
1048,Yao (Vayao),ЯО (ВАЯО)/ЯО (ВАЯО),YAO (WAYA)
1049,Nigeriyalik,НИГЕРИЕЦ/НИГЕРИЙКА,NIGERIAN
1050,Suriyalik,СИРИЕЦ/СИРИЙКА,SYRIAN
1051,Krimchak,КРИМЧАК,KRIMCHAK
1052,Angolalik,АНГОЛЕЦ/АНГОЛКА,ANGOL
1053,Kurama,КУРАМА,KURAMA
739002050,Lachka,ЛАЧКА,LACHKA
739002053,Lo'li (Sigan),ЦЫГАН,GIPSY
739002054,Qoraqalpoq,КАРАКАЛПАК,QORAQALPOQ
739002055,Angolalik,АНГОЛЕЦ/АНГОЛАНКА,ANGOL/ANGOLANKA
739002056,Angolalik (Muqobil),АНГОЛЕЦ/АНГОЛАНКА,ANGOL/ANGOLANKA
739002091,Qoraqalpoq (Muqobil),КАРАКАЛПАК,QORAQALPOQ
739002092,Fors (Farsi),Персы (фарси),FORS
739002093,Latgali,ЛАТГАЛ/ЛАТГАЛКА,LATGAL
739002094,Ugandalik,УГАНДИЕЦ/УГАНДИЙКА,UGANDAN
739002110,Lao,ЛАО,LAO
739002130,Shork,ШОРК/ШОРКА,SHORK
739002131,Yugoslav,ЮГОСЛАВ,JUGOSLAV
739002170,Nivxa,НИВХА,NIVHA
739002190,Qoraqalpoq (Takroriy),КАРАКАЛПАК,QORAQALPOQ
739002191,Latgali (Muqobil),ЛАТГАЛ/ЛАТГАЛКА,LATGAL
739002210,Qrim Tatari,КРЫМСКИЙ ТАТАРИН,CRIMEAN TATAR
739002230,Panamalik,ПАНАМЕЦ/ПАНАМКА,PANAMANIAN
739002270,Marakaniyen,МАРАКАНЦЫ,MARAKANIEN
739002290,Liviyalik,ЛИВИЙЦЫ,LIBYAN
739002291,Lazli,ЛАЗ,LAZ
739002315,Laz Test,ЛАЗ ТЕСТ,ЛАЗ ТЕСТ
739002316,Laz Test 2,ЛАЗ ТЕСТ2,ЛАЗ ТЕСТ2
739002317,Laz (Muqobil),ЛАЗ,LAZ
739002330,Manika,МАНИКА,MANIKA
739002350,Falastinlik,ПАЛЕСТИНЕЦ,PALASTIN
739002370,Lak (Lachanka),Лакец/Лакчанка,LAK
739002390,Lak (Lakes),ЛАКЕЦ/ЛАКЧАНКА,LAKEC/LAKCHANKA
739002410,Lak,ЛАКЕЦ,LAK
739002411,Lakes,ЛАКЕЦ,LAKES
0,Abxaz,АБХАЗ/АБХАЗКА,ABKHAZIAN
1,Adigey,АДЫГЕЕЦ/АДЫГЕЙКА,ADYGEI
3,Oltoy,АЛТАЕЦ/АЛТАЙКА,ALTAI
4,Arman,АРМЯНИН/АРМЯНКА,ARMENIAN
5,Bolqor,БАЛКАРЕЦ/БАЛКАРКА,BALKAR
