code	In uzbek	In russian	In english					
AER101	aerozol	аэрозоль						
AER102	ingalyatsiya uchun dozalangan aerozol	аэрозоль для ингаляций дозированный						
AER103	mahalliy qoʻllash uchun aerozol	аэрозоль для местного применения						
AER104	ogʻiz boʻshligʻi shilliq qavatida qoʻllash uchun aerozol	аэрозоль для нанесения на слизистую оболочку полости рта						
AER105	sirtga qoʻllash uchun aerozol	аэрозоль для наружного применения						
AER106	nazal aerozol	аэрозоль назальный						
AER107	til osti aerozoli	аэрозоль подъязычный						
AER108	transdermal aerozol	аэрозоль трансдермальный						
AER109	quloq aerozoli	аэрозоль ушной						
GEL101	gel	гель						
GEL102	vaginal gel	гель вагинальный						
GEL103	koʻz geli	гель глазной						
GEL104	inyeksiya uchun gel	гель для инъекций						
GEL105	mahalliy qoʻllash uchun gel 	гель для местного применения						
GEL106	milkka surtish uchun gel	гель для нанесения на десны						
GEL107	ogʻiz boʻshligʻi shilliq qavatiga qoʻllash uchun gel	гель для нанесения на слизистую оболочку полости рта						
GEL108	sirtga qoʻllash uchun gel	гель для наружного применения						
GEL109	teri ostiga yuborish uchun gel	гель для подкожного введения						
GEL110	ichga qabul qilish uchun gel 	гель для приема внутрь						
GEL111	tish geli	гель зубной						
GEL112	intestinal gel	гель интестинальный						
GEL113	nazal gel	гель назальный						
GEL114	periodantal gel	гель периодонтальный						
GEL115	rektal gel	гель ректальный						
GEL116	stomatologik gel	гель стоматологический						
GEL117	transdermal gel	гель трансдермальный						
GEL118	uretral gel	гель уретральный						
GEL119	quloq geli	гель ушной						
GEL120	endotservikal gel	гель эндоцервикальный						
GEL121	suspenziya tayyorlash uchun ichga qabul qilish uchun gel	гель для приготовления суспензии для приема внутрь						
DIS101	dispersiya	дисперсия						
DIS102	vena ichiga yuborish uchun dispersiya	дисперсия для внутривенного введения						
DIS103	teri ichiga yuborish uchun dispersiya	дисперсия для внутрикожного введения						
DIS104	infuziya uchun dispersiya	дисперсия для инфузий						
DIS105								
DIS106	vena ichiga yuborish uchun dispersiya	дисперсия для внутривенного введения						
DIS107	teri ichiga yuborish uchun dispersiya	дисперсия для внутрикожного введения						
DIS108	infuziya uchun dispersiya	дисперсия для инфузий						
CRE101	krem	крем						
CRE102	vaginal krem	крем вагинальный						
CRE103	koʻz kremi	крем глазной						
CRE104	mahalliy qoʻllash uchun krem	крем для местного применения						
CRE105	ogʻiz boʻshligʻi shilliq qavatida qoʻllash uchun krem	крем для нанесения на слизистую оболочку полости рта						
CRE106	sirtga qoʻllash uchun krem	крем для наружного применения						
CRE107	nazal krem	крем назальный						
CRE108	rektal krem	крем ректальный						
CRE109	quloq kremi	крем ушной						
CRE110	krem	крем						
CRE111	vaginal krem	крем вагинальный						
CRE112	koʻz kremi	крем глазной						
CRE113	mahalliy qoʻllash uchun krem	крем для местного применения						
CRE114	ogʻiz boʻshligʻi shilliq qavatida qoʻllash uchun krem	крем для нанесения на слизистую оболочку полости рта						
CRE115	sirtga qoʻllash uchun krem	крем для наружного применения						
CRE116	nazal krem	крем назальный						
CRE117	rektal krem	крем ректальный						
CRE118	quloq kremi	крем ушной						
LIN101	liniment	линимент						
LIN102	vaginal liniment	линимент вагинальный						
LIN103	mahalliy qoʻllash uchun liniment	линимент для местного применения						
LIN104	sirtga qoʻllash uchun liniment	линимент для наружного применения						
LIN105	periodantal liniment	линимент периодонтальный						
LIN106	endotservikal liniment	линимент эндоцервикальный						
OIN101	surtma	мазь						
OIN102	vaginal surtma	мазь вагинальная						
OIN103	koʻz surtmasi	мазь глазная						
OIN104	ingalyatsiya uchun surtma	мазь для ингаляций						
OIN105	mahalliy qoʻllash uchun surtma	мазь для местного применения						
OIN106	ogʻiz boʻshligʻi shilliq qavatiga surtish uchun surtma	мазь для нанесения на слизистую оболочку полости рта						
OIN107	sirtga qoʻllash uchun surtma	мазь для наружного применения						
OIN108	nazal surtma	мазь назальная						
OIN109	rektal surtma	мазь ректальная						
OIN110	quloq surtmasi	мазь ушная						
PAS101	pasta	паста						
PAS102	milkka surtish uchun pasta	паста для нанесения на десны						
PAS103	ogʻiz boʻshligʻi shilliq qavatiga surtish uchun pasta	паста для нанесения на слизистую оболочку полости рта						
PAS104	sirtga qoʻllash uchun pasta	паста для наружного применения						
PAS105	ichga qabul qilish uchun suspenziya tayyorlash uchun pasta	паста для приготовления суспензии для приема внутрь						
PAS106	ichga qabul qilish uchun pasta	паста для приема внутрь						
PAS107	stomotologik dori pastasi	паста лекарственная стоматологическая						
FOA101	koʻpik	пена						
FOA102	vaginal koʻpik	пена вагинальная						
FOA103	bachadon ichiga koʻpik	пена внутриматочная						
FOA104	sirtga qoʻllash uchun koʻpik	пена для наружного применения						
FOA105	rektal koʻpik	пена ректальная						
SPR101	sprey	спрей						
SPR102	mahalliy qoʻllash uchun sprey	спрей для местного применения						
SPR103	sirtga qoʻllash uchun sprey	спрей для наружного применения						
SPR104	ogʻiz boʻshligʻi shilliq qavati uchun sprey	спрей для слизистой оболочки полости рта						
SPR105	burun spreyi	спрей назальный						
SPR106	dozalangan til osti spreyi	спрей подъязычный дозированный						
SPR107	transdermal sprey 	спрей трансдермальный						
SPR108	quloq spreyi	спрей ушной						
MEG101	tibbiyot gazi	газ медицинский						
MEG102	kriogen tibbiyot gazi	газ медицинский криогенный						
MEG103	siqilgan tibbiyot gazi	газ медицинский сжатый						
MEG104	suyultirilgan tibbiyot gazi	газ медицинский сжиженный						
ELI101	eliksir	эликсир						
EMU101	emulsiya	эмульсия						
EMU102	qin ichi emulsiyasi	эмульсия вагинальная						
EMU103	bachadon ichi emulsiyasi	эмульсия внутриматочная						
EMU104	vena ichiga yuborish uchun emulsiya	эмульсия для внутривенного введения						
EMU105	mushak ichiga yuborish uchun emulsiya	эмульсия для внутримышечного введения						
EMU106	gastroenteral yuborish uchun emulsiya	эмульсия для гастроэнтерального введения						
EMU107	ingalyatsiya uchun emulsiya	эмульсия для ингаляций						
EMU108	infuziya uchun emulsiya	эмульсия для инфузий						
EMU109	inyeksiya uchun emulsiya	эмульсия для инъекций						
EMU110	mahalliy qoʻllash uchun emulsiya	эмульсия для местного применения						
EMU111	sirtga qoʻllash uchun emulsiya	эмульсия для наружного применения						
EMU112	ichga qabul qilish uchun emulsiya	эмульсия для приема внутрь						
