Code,"Uzbek (UZ, lotin)",Name Eng ,Russian (RU)
registered,Ro‘yxatdan o‘tgan,Registered,Зарегистрировано
partial,Qisman,Partial,Частично
preliminary,Dastlabki,Preliminary,Предварительное
final,Yakuniy,Final,Окончательное
amended,O‘zgartirilgan,Amended,Изменённое / Исправленное
corrected,Tuzatilgan,Corrected,Исправленное
appended,Qo‘shimcha kiritilgan,Appended,Дополненное
cancelled,Bekor qilingan,Cancelled,Отменено
entered-in-error,Xato kiritilgan,Entered in Error,Введено по ошибке
deprecated,Muddati o‘tgan / Ishlatilmaydi,Deprecated,Устаревшее / Не используется
unknown,Noma’lum,Unknown,Неизвестно
