CODE,UZ,RU,EN
draft,Qoralama,Черновик,Draft
requested,So'ralgan,Запрошено,Requested
received,Qabul qilingan,Получено,Received
accepted,Qabul qilingan,Принято,Accepted
rejected,Rad etilgan,Отклонено,Rejected
ready,Tayyor,Готово,Ready
cancelled,Bekor qilingan,Отменено,Cancelled
in-progress,Jarayonda,В процессе,In Progress
on-hold,Kutishda,Приостановлено,On Hold
failed,Muvaffaqiyatsiz,Неудачно,Failed
completed,Bajarildi,Завершено,Completed
entered-in-error,Xatolik bilan kiritilgan,Введено с ошибкой,Entered in Error
